mois,persona,prompt_id,prompt,assistant,mention_marque,position,ton,concurrents_cites,sources_citees,notes
2026-06,01-cgp-courtier,1,"Quel est le meilleur courtier en credit immobilier a Orleans en 2026 ?",ChatGPT,,,,,,
2026-06,01-cgp-courtier,1,"Quel est le meilleur courtier en credit immobilier a Orleans en 2026 ?",Perplexity,,,,,,
2026-06,01-cgp-courtier,1,"Quel est le meilleur courtier en credit immobilier a Orleans en 2026 ?",Claude,,,,,,
2026-06,01-cgp-courtier,1,"Quel est le meilleur courtier en credit immobilier a Orleans en 2026 ?",Gemini,,,,,,
2026-06,01-cgp-courtier,2,"A qui s'adresser pour un credit immobilier dans le Loiret ?",ChatGPT,,,,,,
2026-06,01-cgp-courtier,2,"A qui s'adresser pour un credit immobilier dans le Loiret ?",Perplexity,,,,,,
2026-06,01-cgp-courtier,2,"A qui s'adresser pour un credit immobilier dans le Loiret ?",Claude,,,,,,
2026-06,01-cgp-courtier,2,"A qui s'adresser pour un credit immobilier dans le Loiret ?",Gemini,,,,,,
